# ======================================================================
#  VD INFOS  ::  method debugger
#  Read every device info by every method, then compare. A divergence is a hook.
#
#  Copyright (C) 2026  VD171
#  SPDX-License-Identifier: AGPL-3.0-or-later
#
#  Free software under the GNU AGPL v3 or later. NETWORK COPYLEFT: run a
#  modified version, even as a service, and you MUST offer its source.
#
#  Site           : https://vd171.ru
#  Site           : https://vd.priv8.ru
#  Source         : https://github.com/VD171/VD-Infos
#  GitHub         : @VD171 https://github.com/VD171
#  XDA-Developers : @VD171 https://xdaforums.com/m/vd171.4699873/
#  Telegram       : @VD_Priv8 https://t.me/VD_Priv8
#  Discord        : @VD.Priv8 https://discord.com/users/1296831918989639721
#  E-mail         : vd.priv8@pm.me
# ======================================================================

com.machiav3lli.backup            # Neo Backup (ex-OAndBackupX)
com.xayah.databackup.foss         # DataBackup (FOSS)
com.xayah.databackup              # DataBackup
com.xayah.databackup.premium      # DataBackup Premium
com.keramidas.TitaniumBackup      # Titanium Backup
com.keramidas.TitaniumBackupPro   # Titanium Backup Pro
com.keramidas.TitaniumBackupAddon # Titanium Backup Add-on (plugin)
com.keramidas.MarketUpdateHelper  # Titanium Backup Market Update Helper
com.swift.backup                  # Swift Backup (legacy id)
org.swiftapps.swiftbackup         # Swift Backup
dk.tacit.android.foldersync.full  # FolderSync (root plugin)
